Age,M,F
0-4,128557,122924
5-9,155298,148330
10-14,158873,152004
15-19,152368,145072
20-24,160427,150746
25-29,182444,171875
30-34,182264,170633
35-39,186924,175319
40-44,178446,169073
45-49,161170,154967
50-54,177010,174442
55-59,183572,184717
60-64,175706,182716
65-69,170561,184910
70-74,164775,187174
75-79,98867,123441
80-84,65072,95858
85-89,34317,63165
90-94,12223,32201
95-99,1994,8097
100+,141,781
