Age,M,F
0-4,133981,127846
5-9,157333,150325
10-14,156946,150234
15-19,152173,144241
20-24,163086,154067
25-29,182859,172403
30-34,180962,169600
35-39,184730,173544
40-44,176864,167577
45-49,160274,154703
50-54,181232,178915
55-59,183419,185094
60-64,176666,184416
65-69,172781,186814
70-74,159109,181102
75-79,92962,117761
80-84,63695,94553
85-89,33240,63213
90-94,11512,31018
95-99,1795,7612
100+,136,733
