Age,M,F
0-4,148036,141844
5-9,147060,140672
10-14,163211,157043
15-19,167792,160824
20-24,168601,161031
25-29,170378,162452
30-34,164266,155528
35-39,168266,161983
40-44,190271,184500
45-49,188958,185846
50-54,194873,194850
55-59,202817,204122
60-64,162366,169096
65-69,120381,135782
70-74,92412,115257
75-79,73428,109710
80-84,43401,85641
85-89,17627,48697
90-94,5154,18892
95-99,897,4270
100+,60,383
