Age,M,F
0-4,153225,146651
5-9,147595,140971
10-14,152912,146648
15-19,169895,163444
20-24,166892,159214
25-29,177371,167986
30-34,173906,164732
35-39,160016,152333
40-44,179846,174356
45-49,190835,186833
50-54,188465,187965
55-59,191270,194870
60-64,195964,203356
65-69,128561,141601
70-74,101020,123254
75-79,74682,104966
80-84,50192,90103
85-89,22067,56287
90-94,5880,20502
95-99,1049,4959
100+,86,502
