Age,M,F
0-4,144756,138282
5-9,158128,151360
10-14,153173,146621
15-19,152702,144654
20-24,169899,161481
25-29,180378,170688
30-34,182834,171573
35-39,179524,169030
40-44,168870,159936
45-49,169139,164703
50-54,186614,184603
55-59,181203,183874
60-64,180302,189167
65-69,179284,193345
70-74,135760,155467
75-79,91239,118165
80-84,58160,88737
85-89,31959,64159
90-94,10148,29201
95-99,1509,6678
100+,128,694
