Age,M,F
0-4,155095,148458
5-9,152762,146168
10-14,148715,142020
15-19,161652,155462
20-24,174021,166276
25-29,174788,165812
30-34,179035,168740
35-39,172153,162855
40-44,163921,157730
45-49,187415,183340
50-54,186878,186130
55-59,186232,190481
60-64,189088,196306
65-69,164957,178938
70-74,107273,127586
75-79,80064,107760
80-84,54061,90422
85-89,26642,59908
90-94,7467,24973
95-99,1167,5402
100+,94,613
