Age,M,F
0-4,152036,145229
5-9,156364,149588
10-14,149826,143281
15-19,155268,148603
20-24,174040,166592
25-29,174782,166242
30-34,183522,172642
35-39,177471,167667
40-44,161703,154583
45-49,179482,175343
50-54,188272,186731
55-59,183156,186331
60-64,182371,191080
65-69,182179,196779
70-74,115580,134444
75-79,85105,112708
80-84,55712,88123
85-89,29504,62880
90-94,8859,27584
95-99,1326,5709
100+,107,648
