Age,M,F
0-4,144954,138211
5-9,158232,152343
10-14,168304,161477
15-19,164251,157179
20-24,168207,160869
25-29,165754,157998
30-34,161005,154118
35-39,188544,181874
40-44,191866,186249
45-49,196593,193447
50-54,206413,203021
55-59,188065,189147
60-64,129916,139042
65-69,107929,124451
70-74,90533,119910
75-79,64913,106215
80-84,33799,76380
85-89,14317,42098
90-94,4619,16647
95-99,650,3123
100+,48,264
