Age,M,F
0-4,151504,145061
5-9,147043,140260
10-14,155948,149923
15-19,170266,163622
20-24,166228,158710
25-29,175875,166660
30-34,172564,163478
35-39,159246,152106
40-44,184477,178938
45-49,190956,187161
50-54,189985,189859
55-59,194362,196987
60-64,189562,196778
65-69,121538,135258
70-74,99458,121857
75-79,73958,106305
80-84,48224,88472
85-89,20516,54043
90-94,5553,19765
95-99,1010,4746
100+,77,464
