Age,M,F
0-4,150302,144088
5-9,167021,160862
10-14,162240,155112
15-19,169811,162188
20-24,167356,160307
25-29,156218,149117
30-34,179574,172639
35-39,193536,186216
40-44,195119,189237
45-49,203165,198773
50-54,214957,210919
55-59,147273,149869
60-64,123612,134458
65-69,103723,122614
70-74,87815,122129
75-79,57109,104694
80-84,28663,67771
85-89,14059,41526
90-94,4030,14720
95-99,562,2563
100+,44,205
