Age,M,F
0-4,155084,148454
5-9,150714,144334
10-14,149068,142539
15-19,165315,158906
20-24,172010,164294
25-29,176379,166980
30-34,176088,166420
35-39,167289,158114
40-44,169427,163878
45-49,189330,185087
50-54,185852,185504
55-59,188679,192821
60-64,192594,199832
65-69,150495,163610
70-74,107587,128939
75-79,77031,105264
80-84,53416,91263
85-89,25070,58675
90-94,6941,23562
95-99,1110,5231
100+,94,568
