Age,M,F
0-4,148814,142154
5-9,157659,150655
10-14,151088,144742
15-19,153621,146293
20-24,172556,164551
25-29,177048,168118
30-34,183957,172788
35-39,178053,168167
40-44,164845,156485
45-49,174607,170470
50-54,187736,185847
55-59,181827,184916
60-64,181402,190285
65-69,181870,196390
70-74,124569,143478
75-79,88498,115974
80-84,56794,87932
85-89,30853,63725
90-94,9549,28490
95-99,1421,6194
100+,121,666
