Age,M,F
0-4,124606,119036
5-9,151949,145217
10-14,160201,153118
15-19,153575,146876
20-24,158225,148703
25-29,180441,169989
30-34,184607,172846
35-39,187777,175838
40-44,179194,169881
45-49,164424,157031
50-54,172356,169741
55-59,183156,183814
60-64,174669,181443
65-69,169962,184242
70-74,164743,186779
75-79,106799,131994
80-84,67927,98733
85-89,35167,63399
90-94,12945,32985
95-99,2151,8423
100+,146,874
