Age,M,F
0-4,149868,143453
5-9,146592,139942
10-14,159461,153549
15-19,169702,162828
20-24,166910,159432
25-29,173139,164417
30-34,168931,160106
35-39,162446,155557
40-44,188228,182605
45-49,189801,186327
50-54,192068,192347
55-59,198762,200394
60-64,177884,184942
65-69,119819,134431
70-74,95566,117930
75-79,73842,108382
80-84,45836,86852
85-89,18957,51149
90-94,5373,19556
95-99,957,4509
100+,68,421
