Age,M,F
0-4,145105,138310
5-9,154510,148554
10-14,168663,162161
15-19,162964,155946
20-24,169803,162327
25-29,168574,160857
30-34,157242,150240
35-39,184355,177997
40-44,192685,186861
45-49,194101,190778
50-54,201604,199437
55-59,200270,201203
60-64,131657,139847
65-69,111970,128420
70-74,90097,117272
75-79,67506,107431
80-84,36393,80150
85-89,14497,41975
90-94,4735,17221
95-99,701,3381
100+,47,286
