Age,M,F
0-4,122076,116291
5-9,147442,140985
10-14,160389,153506
15-19,155696,149178
20-24,156784,147768
25-29,176863,167120
30-34,187397,175684
35-39,186680,174780
40-44,180837,171021
45-49,168635,160648
50-54,167199,164176
55-59,182326,182721
60-64,174357,180585
65-69,169279,183355
70-74,162724,184052
75-79,116663,143213
80-84,70342,100672
85-89,36181,64254
90-94,13481,33302
95-99,2295,8679
100+,154,944
