Age,M,F
0-4,146371,140168
5-9,148774,142540
10-14,166231,159937
15-19,165121,158005
20-24,170287,162686
25-29,169308,161773
30-34,160306,151999
35-39,174091,167990
40-44,191345,185512
45-49,190163,187017
50-54,196544,196084
55-59,206135,207367
60-64,149369,156144
65-69,117414,133355
70-74,91168,114673
75-79,71903,109701
80-84,41172,84445
85-89,16456,46117
90-94,4984,18390
95-99,841,3962
100+,52,335
