Age,M,F
0-4,154197,147382
5-9,154568,147960
10-14,149228,142491
15-19,158191,151863
20-24,174513,166947
25-29,174181,165547
30-34,181871,171221
35-39,175954,166342
40-44,160885,154375
45-49,183919,179848
50-54,188166,187050
55-59,184425,188134
60-64,185136,193075
65-69,176019,190422
70-74,109009,128389
75-79,83612,111386
80-84,54622,88976
85-89,28154,61413
90-94,8115,26405
95-99,1240,5468
100+,96,636
