Age,M,F
0-4,145444,138879
5-9,151298,145120
10-14,168096,161874
15-19,163334,156169
20-24,170607,163052
25-29,169361,161667
30-34,157499,150180
35-39,179377,173143
40-44,192217,186367
45-49,192186,188705
50-54,198095,197141
55-59,206819,207809
60-64,139141,146407
65-69,113519,129798
70-74,90564,115478
75-79,69808,109001
80-84,38969,83127
85-89,15190,43081
90-94,4859,17905
95-99,769,3655
100+,46,304
