Age,M,F
0-4,139767,133350
5-9,158176,151369
10-14,155205,148487
15-19,152167,143941
20-24,166252,157801
25-29,182424,172157
30-34,181244,170072
35-39,182050,171079
40-44,173336,164281
45-49,163446,158284
50-54,184583,182541
55-59,182169,184306
60-64,178136,186756
65-69,176187,189934
70-74,149006,170094
75-79,91196,116967
80-84,60683,91151
85-89,32574,63839
90-94,10844,29973
95-99,1619,7144
100+,129,728
