Age,M,F
0-4,154566,147742
5-9,148772,142457
10-14,150572,144225
15-19,168216,161686
20-24,169028,161285
25-29,177626,168126
30-34,174474,165298
35-39,163088,154343
40-44,174885,169523
45-49,190271,186028
50-54,186741,186470
55-59,190009,193950
60-64,195509,202979
65-69,138281,151055
70-74,104696,126679
75-79,75548,104522
80-84,52013,90967
85-89,23568,57566
90-94,6431,22165
95-99,1083,5093
100+,90,530
