Age,M,F
0-4,145717,139275
5-9,162123,155982
10-14,166553,159613
15-19,166768,159403
20-24,166783,159658
25-29,161956,153905
30-34,167400,160951
35-39,190989,183979
40-44,191360,185953
45-49,199639,196155
50-54,210725,206896
55-59,171738,173012
60-64,130586,140460
65-69,104838,121858
70-74,90707,121769
75-79,62203,105713
80-84,31964,73684
85-89,14078,41727
90-94,4482,16162
95-99,614,2911
100+,46,247
