Year;Month;First residence permit to Finland;Decision;Number
2017;1;Other;Positive;21
2017;1;Other;Negative;16
2017;1;Studies;Positive;320
2017;1;Studies;Negative;12
2017;1;Work;Positive;514
2017;1;Work;Negative;61
2017;2;Family;Positive;667
2017;2;Family;Negative;69
2017;2;Other;Positive;27
2017;2;Other;Negative;33
2017;2;Studies;Positive;79
2017;2;Studies;Negative;35
2017;2;Work;Positive;542
2017;2;Work;Negative;88
2017;3;Family;Positive;817
2017;3;Family;Negative;129
2017;3;Other;Positive;19
2017;3;Other;Negative;30
2017;3;Studies;Positive;72
2017;3;Studies;Negative;14
2017;3;Work;Positive;739
2017;3;Work;Negative;152
2017;4;Family;Positive;949
2017;4;Family;Negative;144
2017;4;Other;Positive;14
2017;4;Other;Negative;13
2017;4;Studies;Positive;195
2017;4;Studies;Negative;19
2017;4;Work;Positive;720
2017;4;Work;Negative;84
2017;5;Family;Positive;867
2017;5;Family;Negative;159
2017;5;Other;Positive;12
2017;5;Other;Negative;13
2017;5;Studies;Positive;407
2017;5;Studies;Negative;21
2017;5;Work;Positive;632
2017;5;Work;Negative;140
2017;6;Family;Positive;795
2017;6;Family;Negative;213
2017;6;Other;Positive;25
2017;6;Other;Negative;16
2017;6;Studies;Positive;821
2017;6;Studies;Negative;64
2017;6;Work;Positive;605
2017;6;Work;Negative;80
2017;7;Family;Positive;591
2017;7;Family;Negative;204
2017;7;Other;Positive;16
2017;7;Other;Negative;10
2017;7;Studies;Positive;1156
2017;7;Studies;Negative;76
2017;7;Work;Positive;442
2017;7;Work;Negative;58
2017;8;Family;Positive;731
2017;8;Family;Negative;198
2017;8;Other;Positive;41
2017;8;Other;Negative;15
2017;8;Studies;Positive;780
2017;8;Studies;Negative;86
2017;8;Work;Positive;570
2017;8;Work;Negative;103
2017;9;Family;Positive;815
2017;9;Family;Negative;172
2017;9;Other;Positive;39
2017;9;Other;Negative;22
2017;9;Studies;Positive;189
2017;9;Studies;Negative;89
2017;9;Work;Positive;479
2017;9;Work;Negative;65
2017;10;Family;Positive;871
2017;10;Family;Negative;209
2017;10;Other;Positive;19
2017;10;Other;Negative;11
