"Year","Country of permanent residence","Nationality","Offence group and specifier for criminal act","Wellbeing services county","Persons suspected of solved offences"
"2011","Total","AMERICA","Offences and infractions total","WHOLE COUNTRY",933
"2011","Total","ASIA","Offences and infractions total","WHOLE COUNTRY",6833
"2011","Total","OCEANIA","Offences and infractions total","WHOLE COUNTRY",92
"2012","Total","Finland","Offences and infractions total","WHOLE COUNTRY",648277
"2012","Total","FOREIGN COUNTRIES, TOTAL","Offences and infractions total","WHOLE COUNTRY",59231
"2012","Total","EUROPE","Offences and infractions total","WHOLE COUNTRY",43932
"2012","Total","AFRICA","Offences and infractions total","WHOLE COUNTRY",5407
"2012","Total","AMERICA","Offences and infractions total","WHOLE COUNTRY",962
"2012","Total","ASIA","Offences and infractions total","WHOLE COUNTRY",6574
"2012","Total","OCEANIA","Offences and infractions total","WHOLE COUNTRY",90
"2013","Total","Finland","Offences and infractions total","WHOLE COUNTRY",651469
"2013","Total","FOREIGN COUNTRIES, TOTAL","Offences and infractions total","WHOLE COUNTRY",59272
"2013","Total","EUROPE","Offences and infractions total","WHOLE COUNTRY",44466
"2013","Total","AFRICA","Offences and infractions total","WHOLE COUNTRY",5209
"2013","Total","AMERICA","Offences and infractions total","WHOLE COUNTRY",965
"2013","Total","ASIA","Offences and infractions total","WHOLE COUNTRY",6503
"2013","Total","OCEANIA","Offences and infractions total","WHOLE COUNTRY",88
"2014","Total","Finland","Offences and infractions total","WHOLE COUNTRY",608293
"2014","Total","FOREIGN COUNTRIES, TOTAL","Offences and infractions total","WHOLE COUNTRY",55459
"2014","Total","EUROPE","Offences and infractions total","WHOLE COUNTRY",40696
"2014","Total","AFRICA","Offences and infractions total","WHOLE COUNTRY",5608
"2014","Total","AMERICA","Offences and infractions total","WHOLE COUNTRY",867
"2014","Total","ASIA","Offences and infractions total","WHOLE COUNTRY",6518
"2014","Total","OCEANIA","Offences and infractions total","WHOLE COUNTRY",65
"2015","Total","Finland","Offences and infractions total","WHOLE COUNTRY",604376
"2015","Total","FOREIGN COUNTRIES, TOTAL","Offences and infractions total","WHOLE COUNTRY",53682
"2015","Total","EUROPE","Offences and infractions total","WHOLE COUNTRY",38619
"2015","Total","AFRICA","Offences and infractions total","WHOLE COUNTRY",5668
"2015","Total","AMERICA","Offences and infractions total","WHOLE COUNTRY",797
"2015","Total","ASIA","Offences and infractions total","WHOLE COUNTRY",6980
"2015","Total","OCEANIA","Offences and infractions total","WHOLE COUNTRY",73
"2016","Total","Finland","Offences and infractions total","WHOLE COUNTRY",606493
"2016","Total","FOREIGN COUNTRIES, TOTAL","Offences and infractions total","WHOLE COUNTRY",54370
"2016","Total","EUROPE","Offences and infractions total","WHOLE COUNTRY",37658
"2016","Total","AFRICA","Offences and infractions total","WHOLE COUNTRY",5189
"2016","Total","AMERICA","Offences and infractions total","WHOLE COUNTRY",894
"2016","Total","ASIA","Offences and infractions total","WHOLE COUNTRY",9193
"2016","Total","OCEANIA","Offences and infractions total","WHOLE COUNTRY",78
"2017","Total","Finland","Offences and infractions total","WHOLE COUNTRY",614739
"2017","Total","FOREIGN COUNTRIES, TOTAL","Offences and infractions total","WHOLE COUNTRY",55083
"2017","Total","EUROPE","Offences and infractions total","WHOLE COUNTRY",38543
"2017","Total","AFRICA","Offences and infractions total","WHOLE COUNTRY",4880
"2017","Total","AMERICA","Offences and infractions total","WHOLE COUNTRY",910
"2017","Total","ASIA","Offences and infractions total","WHOLE COUNTRY",9601
"2017","Total","OCEANIA","Offences and infractions total","WHOLE COUNTRY",69
"2018","Total","Finland","Offences and infractions total","WHOLE COUNTRY",659222
"2018","Total","FOREIGN COUNTRIES, TOTAL","Offences and infractions total","WHOLE COUNTRY",59781
"2018","Total","EUROPE","Offences and infractions total","WHOLE COUNTRY",42242
"2018","Total","AFRICA","Offences and infractions total","WHOLE COUNTRY",4805
"2018","Total","AMERICA","Offences and infractions total","WHOLE COUNTRY",1060
"2018","Total","ASIA","Offences and infractions total","WHOLE COUNTRY",10752
"2018","Total","OCEANIA","Offences and infractions total","WHOLE COUNTRY",98
"2019","Total","Finland","Offences and infractions total","WHOLE COUNTRY",617566
"2019","Total","FOREIGN COUNTRIES, TOTAL","Offences and infractions total","WHOLE COUNTRY",56494
"2019","Total","EUROPE","Offences and infractions total","WHOLE COUNTRY",39015
"2019","Total","AFRICA","Offences and infractions total","WHOLE COUNTRY",4710
"2019","Total","AMERICA","Offences and infractions total","WHOLE COUNTRY",935
"2019","Total","ASIA","Offences and infractions total","WHOLE COUNTRY",10618
"2019","Total","OCEANIA","Offences and infractions total","WHOLE COUNTRY",96
"2020","Total","Finland","Offences and infractions total","WHOLE COUNTRY",487626
"2020","Total","FOREIGN COUNTRIES, TOTAL","Offences and infractions total","WHOLE COUNTRY",46817
"2020","Total","EUROPE","Offences and infractions total","WHOLE COUNTRY",30260
"2020","Total","AFRICA","Offences and infractions total","WHOLE COUNTRY",4667
"2020","Total","AMERICA","Offences and infractions total","WHOLE COUNTRY",744
"2020","Total","ASIA","Offences and infractions total","WHOLE COUNTRY",10104
"2020","Total","OCEANIA","Offences and infractions total","WHOLE COUNTRY",55
"2021","Total","Finland","Offences and infractions total","WHOLE COUNTRY",314657
"2021","Total","FOREIGN COUNTRIES, TOTAL","Offences and infractions total","WHOLE COUNTRY",37679
"2021","Total","EUROPE","Offences and infractions total","WHOLE COUNTRY",22803
"2021","Total","AFRICA","Offences and infractions total","WHOLE COUNTRY",4771
"2021","Total","AMERICA","Offences and infractions total","WHOLE COUNTRY",520
"2021","Total","ASIA","Offences and infractions total","WHOLE COUNTRY",8894
"2021","Total","OCEANIA","Offences and infractions total","WHOLE COUNTRY",46
"2022","Total","Finland","Offences and infractions total","WHOLE COUNTRY",286722
"2022","Total","FOREIGN COUNTRIES, TOTAL","Offences and infractions total","WHOLE COUNTRY",38389
"2022","Total","EUROPE","Offences and infractions total","WHOLE COUNTRY",23532
"2022","Total","AFRICA","Offences and infractions total","WHOLE COUNTRY",4049
"2022","Total","AMERICA","Offences and infractions total","WHOLE COUNTRY",612
"2022","Total","ASIA","Offences and infractions total","WHOLE COUNTRY",9487
"2022","Total","OCEANIA","Offences and infractions total","WHOLE COUNTRY",48
